Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,1/3/2023,1/4/2023,Synergym Oviedo,-26.99,0,EUR,COMPLETED,2128.7
CARD_PAYMENT,Current,1/4/2023,1/5/2023,Casa Tataguyo,-112,0,EUR,COMPLETED,2016.7
CARD_PAYMENT,Current,1/5/2023,1/6/2023,Melia Barajas,-89,0,EUR,COMPLETED,1927.7
CARD_PAYMENT,Current,1/6/2023,1/7/2023,Intermundial Seguros,-200.05,0,EUR,COMPLETED,1727.65
CARD_PAYMENT,Current,1/7/2023,1/8/2023,-Kiwi.com-,-160,0,EUR,COMPLETED,1567.65
CARD_PAYMENT,Current,1/8/2023,1/9/2023,Renfe Virtual Internet,-73.4,0,EUR,COMPLETED,1494.25
CARD_PAYMENT,Current,1/11/2023,1/12/2023,S S P Emirates Llc,-7.35,0,EUR,COMPLETED,1486.9
CARD_PAYMENT,Current,1/11/2023,1/12/2023,Global Exchange,-51.03,0,EUR,COMPLETED,1435.87
CARD_PAYMENT,Current,1/11/2023,1/12/2023,Aerop Adolfo Suarez M,-11.2,0,EUR,COMPLETED,1424.67
ATM,Current,1/12/2023,1/13/2023,Cash at Connaught Circus,-57.27,0,EUR,COMPLETED,1367.4
ATM,Current,1/12/2023,1/13/2023,Cash at H 22 Tropical Buildin,-30.32,0,EUR,COMPLETED,1337.08
ATM,Current,1/12/2023,1/13/2023,Cash at Ybl Paharganj2,-11.45,0,EUR,COMPLETED,1325.63
CARD_PAYMENT,Current,1/12/2023,1/13/2023,Viator,-79.35,0,EUR,COMPLETED,1246.28
CARD_PAYMENT,Current,1/13/2023,1/13/2023,Uber *trip Help.uber.c,-1.14,0,EUR,COMPLETED,1245.14
CARD_PAYMENT,Current,1/13/2023,1/13/2023,Uber * Pending,-1.52,0,EUR,COMPLETED,1243.62
ATM,Current,1/13/2023,1/14/2023,Cash at Ybl Paharganj2,-56.92,0,EUR,COMPLETED,1186.7
CARD_PAYMENT,Current,1/13/2023,1/14/2023,Tata Starbucks Private,-6.55,0,EUR,COMPLETED,1180.15
ATM,Current,1/14/2023,1/15/2023,Cash at New Delhi Main,-57.34,0.57,EUR,COMPLETED,1122.24
CARD_PAYMENT,Current,1/14/2023,1/15/2023,Afghan Store,-85.73,0.86,EUR,COMPLETED,1035.65
CARD_PAYMENT,Current,1/14/2023,1/15/2023,Tata Starbucks Private,-3.5,0.04,EUR,COMPLETED,1032.11
ATM,Current,1/15/2023,1/16/2023,Cash at Ybl Paharganj2,-57.34,0.57,EUR,COMPLETED,974.2
CARD_PAYMENT,Current,1/15/2023,1/16/2023,Reebok,-28.89,0.29,EUR,COMPLETED,945.02
CARD_PAYMENT,Current,1/14/2023,1/16/2023,Viatortripadvisor Uk,-49.92,0,EUR,COMPLETED,895.1
CARD_PAYMENT,Current,1/15/2023,1/17/2023,Twenty Four Seven,-11.3,0.11,EUR,COMPLETED,883.69
ATM,Current,1/16/2023,1/17/2023,Cash at Ybl Paharganj2,-56.85,0,EUR,COMPLETED,826.84
CARD_PAYMENT,Current,1/16/2023,1/17/2023,Easy Trip Planners Pvt,-75.85,0,EUR,COMPLETED,750.99
TOPUP,Current,1/17/2023,1/17/2023,Payment from Pablo Vazquez Garcia,3000,0,EUR,COMPLETED,3750.99
CARD_PAYMENT,Current,1/17/2023,1/17/2023,Flight On Booking.com,-825.86,0,EUR,COMPLETED,2925.13
ATM,Current,1/17/2023,1/18/2023,Cash at Delhi Connaught Circ N,-56.71,0,EUR,COMPLETED,2868.42
CARD_PAYMENT,Current,1/17/2023,1/18/2023,-Kiwi.com-,-321.59,0,EUR,COMPLETED,2546.83
CARD_PAYMENT,Current,1/17/2023,1/18/2023,Payup*amazo,-82.97,0,EUR,COMPLETED,2463.86
CARD_PAYMENT,Current,1/18/2023,1/19/2023,Taxis On Booking,-17.52,0,EUR,COMPLETED,2446.34
ATM,Current,1/19/2023,1/20/2023,Cash at Connaught Place Br,-59.56,0,EUR,COMPLETED,2386.78
CARD_PAYMENT,Current,1/19/2023,1/20/2023,Cafe Coffee Day Inner,-2.3,0,EUR,COMPLETED,2384.48
ATM,Current,1/20/2023,1/21/2023,Cash at Ybl Cp-Ii Delhi1,-57.1,0,EUR,COMPLETED,2327.38
CARD_PAYMENT,Current,1/20/2023,1/21/2023,Bhadra Kali Guest Hous,-184.61,0,EUR,COMPLETED,2142.77
CARD_PAYMENT,Current,1/20/2023,1/21/2023,Msw*travel Retail Serv,-11.42,0,EUR,COMPLETED,2131.35
CARD_PAYMENT,Current,1/21/2023,1/22/2023,Shankar Brothers,-22.96,0.23,EUR,COMPLETED,2108.16
ATM,Current,1/21/2023,1/22/2023,"Cash at Malviya Chowk, Varanas",-59.7,0.6,EUR,COMPLETED,2047.86
ATM,Current,1/22/2023,1/23/2023,Cash at D-17/136-137 A,-57.4,0.57,EUR,COMPLETED,1989.89
CARD_PAYMENT,Current,1/23/2023,1/24/2023,Payup*amazo,-19.41,0,EUR,COMPLETED,1970.48
CARD_PAYMENT,Current,1/24/2023,1/25/2023,Uber * Pending,-2.62,0,EUR,COMPLETED,1967.86
ATM,Current,1/24/2023,1/25/2023,Cash at Khan Market Br,-58.62,0,EUR,COMPLETED,1909.24
ATM,Current,1/24/2023,1/25/2023,Cash at Janpath,-56.4,0,EUR,COMPLETED,1852.84
ATM,Current,1/24/2023,1/25/2023,Cash at Janpath,-56.4,0,EUR,COMPLETED,1796.44
ATM,Current,1/24/2023,1/25/2023,Cash at Khan Market Br,-58.62,0,EUR,COMPLETED,1737.82
CARD_PAYMENT,Current,1/24/2023,1/25/2023,Tata Starbucks Private,-5.47,0,EUR,COMPLETED,1732.35
CARD_PAYMENT,Current,1/24/2023,1/25/2023,Amici,-36.98,0,EUR,COMPLETED,1695.37
CARD_PAYMENT,Current,1/25/2023,1/25/2023,Hotel At Booking.com,-46.3,0,EUR,COMPLETED,1649.07
ATM,Current,1/25/2023,1/26/2023,Cash at Ybl Cp Branch Bna,-56.41,0,EUR,COMPLETED,1592.66
ATM,Current,1/25/2023,1/26/2023,Cash at Ybl Cp Branch Bna,-56.43,0,EUR,COMPLETED,1536.23
CARD_PAYMENT,Current,1/26/2023,1/27/2023,Cafe Coffee Day Inner,-2.71,0,EUR,COMPLETED,1533.52
CARD_PAYMENT,Current,1/27/2023,1/28/2023,Cafe Coffee Day Inner,-2.73,0,EUR,COMPLETED,1530.79
CARD_PAYMENT,Current,1/27/2023,1/28/2023,Cafe Coffee Day Inner,-3.18,0,EUR,COMPLETED,1527.61
CARD_PAYMENT,Current,1/27/2023,1/28/2023,The Body Shop,-5.41,0,EUR,COMPLETED,1522.2
ATM,Current,1/28/2023,1/29/2023,Cash at Connaught Place,-59.65,0.6,EUR,COMPLETED,1461.95
CARD_PAYMENT,Current,1/28/2023,1/29/2023,Cafe Coffee Day Inner,-3.76,0.04,EUR,COMPLETED,1458.15
CARD_PAYMENT,Current,1/28/2023,1/29/2023,Cafe Coffee Day Inner,-4.33,0.04,EUR,COMPLETED,1453.78
CARD_PAYMENT,Current,1/29/2023,1/31/2023,Uber *trip Help.uber.c,-0.57,0.01,EUR,COMPLETED,1453.2
CARD_PAYMENT,Current,1/28/2023,1/31/2023,Twenty Four Seven,-11.29,0.11,EUR,COMPLETED,1441.8
CARD_PAYMENT,Current,1/29/2023,1/31/2023,Muhavra Enterprises Pv,-8.89,0.09,EUR,COMPLETED,1432.82
CARD_PAYMENT,Current,1/29/2023,1/31/2023,Muhavra Enterprises Pv,-2.06,0.02,EUR,COMPLETED,1430.74
CARD_PAYMENT,Current,1/30/2023,1/31/2023,Muhavra Enterprises Pv,-3.3,0,EUR,COMPLETED,1427.44
ATM,Current,1/31/2023,2/1/2023,Cash at Arora Guest House,-56.81,0,EUR,COMPLETED,1370.63
ATM,Current,1/31/2023,2/1/2023,Cash at Arora Guest House,-56.81,0,EUR,COMPLETED,1313.82
ATM,Current,2/5/2023,2/6/2023,Cash at Pnb Atm Swargashram Di,-58.56,1.59,EUR,COMPLETED,1253.67
ATM,Current,2/5/2023,2/6/2023,Cash at Pnb Atm Swargashram Di,-58.56,1.76,EUR,COMPLETED,1193.35
TRANSFER,Current,2/10/2023,2/10/2023,Revolut Ltd,-10,0,EUR,COMPLETED,1183.35
TOPUP,Current,2/13/2023,2/13/2023,Payment from Pablo Vazquez Garcia,500,0,EUR,COMPLETED,1683.35
ATM,Current,2/17/2023,2/18/2023,Cash at Swargashram,-59.02,1.18,EUR,COMPLETED,1623.15
ATM,Current,2/17/2023,2/18/2023,Cash at Swargashram,-59.03,1.18,EUR,COMPLETED,1562.94
TOPUP,Current,2/24/2023,2/24/2023,Payment from Pablo Vazquez Garcia,750,0,EUR,COMPLETED,2312.94
TRANSFER,Current,2/26/2023,2/26/2023,From MILENA ROMECKA,11,0,EUR,COMPLETED,2323.94
CARD_PAYMENT,Current,2/27/2023,2/28/2023,www.grab.com,-1.73,0,EUR,COMPLETED,2322.21
CARD_PAYMENT,Current,2/27/2023,2/28/2023,www.grab.com,-12.95,0,EUR,COMPLETED,2309.26
CARD_PAYMENT,Current,2/26/2023,2/28/2023,Msw*foxoso Hospitality,-40.14,0.4,EUR,COMPLETED,2268.72
