Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,1/3/2023 14:40,1/4/2023 4:46,Synergym Oviedo,-26.99,0,EUR,COMPLETED,2128.7
CARD_PAYMENT,Current,1/4/2023 17:10,1/5/2023 11:34,Casa Tataguyo,-112,0,EUR,COMPLETED,2016.7
CARD_PAYMENT,Current,1/5/2023 22:36,1/6/2023 11:26,Melia Barajas,-89,0,EUR,COMPLETED,1927.7
CARD_PAYMENT,Current,1/6/2023 21:40,1/7/2023 11:12,Intermundial Seguros,-200.05,0,EUR,COMPLETED,1727.65
CARD_PAYMENT,Current,1/7/2023 21:00,1/8/2023 4:45,-Kiwi.com-,-160,0,EUR,COMPLETED,1567.65
CARD_PAYMENT,Current,1/8/2023 9:44,1/9/2023 10:40,Renfe Virtual Internet,-73.4,0,EUR,COMPLETED,1494.25
CARD_PAYMENT,Current,1/11/2023 16:33,1/12/2023 7:53,S S P Emirates Llc,-7.35,0,EUR,COMPLETED,1486.9
CARD_PAYMENT,Current,1/11/2023 7:17,1/12/2023 8:28,Global Exchange,-51.03,0,EUR,COMPLETED,1435.87
CARD_PAYMENT,Current,1/11/2023 7:26,1/12/2023 11:29,Aerop Adolfo Suarez M,-11.2,0,EUR,COMPLETED,1424.67
ATM,Current,1/12/2023 12:55,1/13/2023 4:31,Cash at Connaught Circus,-57.27,0,EUR,COMPLETED,1367.4
ATM,Current,1/12/2023 11:49,1/13/2023 4:31,Cash at H 22 Tropical Buildin,-30.32,0,EUR,COMPLETED,1337.08
ATM,Current,1/12/2023 8:22,1/13/2023 4:31,Cash at Ybl Paharganj2,-11.45,0,EUR,COMPLETED,1325.63
